Group,Region,Age,Baseline_Score,Outcome_Score
Control,North,24,52.72011125631653,71.19232720097573
Control,North,51,66.5839530147385,57.47890041072991
Control,North,42,60.894882822171,66.26362335392929
Control,North,60,59.88239189746998,62.860566976103115
Control,North,41,65.44454354800264,69.37620202400777
Control,North,35,67.89068844877623,72.225379974292
Control,North,39,62.58125548857749,62.711330382969955
Control,North,30,66.1491521091509,68.80729191372964
Control,North,27,55.23349318917241,74.4772768060952
Control,North,51,58.91829362551839,65.23532591961467
Control,North,51,63.72616429887344,70.8633739599817
Control,North,28,62.88912828117192,71.10496910865824
Control,North,57,57.15509488530769,64.41446070492616
Control,North,50,54.30359090226486,70.67052289786064
Control,North,52,59.20236779641588,62.81548734157969
Control,North,28,54.22863149016132,70.86471039517724
Control,North,58,63.80207987813637,64.69131613433238
Control,North,38,61.62512926146704,68.99263812190844
Control,North,56,66.10000144563733,70.43957355286281
Control,North,32,64.75239494150327,69.26090550640393
Control,South,52,64.41901758086978,62.05248824542255
Control,South,52,57.76230148549889,66.77497834163303
Control,South,41,58.07400424141321,78.62296863086075
Control,South,43,53.9391821901473,74.7187229217754
Control,South,55,57.65580479009957,70.55456325284796
Control,South,43,64.10355631951495,75.00599961626982
Control,South,52,57.558924494260935,66.78649565297955
Control,South,33,66.00583116880007,69.93322366109433
Control,South,60,52.066989501975634,63.055344394345944
Control,South,55,63.48012520837635,71.48097695393115
Control,South,38,57.00923147564426,70.41289981207625
Control,South,47,64.37913275777136,68.93216465807741
Control,South,37,55.36651841253344,66.98765023486558
Control,South,53,57.327834742011696,62.343972380027864
Control,South,48,56.71418361858093,69.4835177637107
Control,South,39,63.36522661234136,73.2849278464011
Control,South,40,59.310601608434034,67.3361184172532
Control,South,38,59.44197252365521,59.77554845050975
Control,South,59,50.74110271351918,62.34991752282457
Control,South,24,62.79841958706405,65.07084119351116
Treatment_A,North,39,69.09459808450245,73.49944382884189
Treatment_A,North,31,65.1626089792696,69.32756353620927
Treatment_A,North,50,53.34984561562593,70.7687737554093
Treatment_A,North,31,65.88215696220178,64.69486571404224
Treatment_A,North,49,61.664149216325946,70.7346471247579
Treatment_A,North,33,49.87759501928082,72.61074414975377
Treatment_A,North,40,61.628733479482925,74.42428489944757
Treatment_A,North,49,71.2124522392464,74.5821076382262
Treatment_A,North,46,61.25492944469421,75.54586740387555
Treatment_A,North,24,69.51431302668306,80.72324382029042
Treatment_A,North,47,70.24312023853693,68.71118331699954
Treatment_A,North,26,55.521739270751766,67.63445742030217
Treatment_A,North,60,50.363196967105836,76.07628113496547
Treatment_A,North,44,58.44444112030859,64.89516163463959
Treatment_A,North,37,62.19459693215137,79.42378685515352
Treatment_A,North,40,73.97711624184251,93.99905571957564
Treatment_A,North,38,53.07323315977695,59.96090428437199
Treatment_A,North,58,61.87398023640685,69.45966987069127
Treatment_A,North,42,55.71532240658134,72.38401271468634
Treatment_A,North,41,67.4618616155135,76.28542649546449
Treatment_A,South,42,52.75042373021932,64.64697860321334
Treatment_A,South,26,56.59584463648668,75.06455672965768
Treatment_A,South,50,60.9119216503102,82.06058296319418
Treatment_A,South,50,56.504930810225936,68.26122494733852
Treatment_A,South,30,54.92341754824973,87.85703355329593
Treatment_A,South,22,54.2502932454293,79.99598800659534
Treatment_A,South,59,66.52101109011971,79.48348779285674
Treatment_A,South,33,58.90353471639337,75.5580610921382
Treatment_A,South,60,63.122505410374565,73.83215009182275
Treatment_A,South,58,51.42075965362926,66.78811129173555
Treatment_A,South,27,71.05363879487305,78.94960466451778
Treatment_A,South,56,59.169531717230825,77.5654725467168
Treatment_A,South,39,61.53567750954699,73.81085856671604
Treatment_A,South,33,67.74402097041923,79.96646240544514
Treatment_A,South,50,61.282641060553345,68.8840612005766
Treatment_A,South,50,50.42288560528034,84.18168700233797
Treatment_A,South,23,58.74336550702179,73.474681864448
Treatment_A,South,54,70.23011004569541,71.19914571596424
Treatment_A,South,32,64.50328756282332,74.44296102415066
Treatment_A,South,33,59.9641469329595,75.01288905678564
Treatment_B,North,58,69.85237302919602,82.31693658666576
Treatment_B,North,21,64.507571552938,68.5103302733427
Treatment_B,North,32,54.097388107949904,71.62465149688921
Treatment_B,North,41,53.85293343149874,76.88878737346491
Treatment_B,North,22,50.715250975823054,78.51253413121465
Treatment_B,North,49,56.61081396666495,77.42390794782793
Treatment_B,North,26,63.76680805902748,88.7024140952814
Treatment_B,North,40,58.9184602452507,75.62966717412091
Treatment_B,North,40,61.69747753889855,81.36498610772401
Treatment_B,North,21,52.409283494366434,79.1766097187532
Treatment_B,North,50,77.62231826273745,94.43308495498277
Treatment_B,North,37,54.02729654608826,77.20061320900082
Treatment_B,North,38,55.8650509022556,81.14933918394804
Treatment_B,North,39,68.44097534621764,77.14487253585752
Treatment_B,North,31,44.96897679182942,76.31842029925986
